episode,episode_return,episode_length,critic_loss,actor_loss,alpha,q_value,eval_return,gpu_memory_mb
1,5.899843369747932,10,0.0,0.0,0.2,0.0,,32.482816
2,5.640311118580351,10,0.0,0.0,0.2,0.0,,32.482816
3,5.904987432356707,10,0.0,0.0,0.2,0.0,,32.482816
4,5.573217102704856,10,0.0,0.0,0.2,0.0,,32.482816
5,5.47781389418677,10,0.0,0.0,0.2,0.0,,32.482816
6,5.660235756283158,10,0.0,0.0,0.2,0.0,,32.482816
7,5.640116234171299,10,0.0,0.0,0.2,0.0,,32.482816
8,5.869156257891398,10,0.0,0.0,0.2,0.0,,32.482816
9,5.839322376427855,10,0.0,0.0,0.2,0.0,,32.482816
10,5.547741704215104,10,0.0,0.0,0.2,0.0,,32.482816
11,5.74605641644643,10,0.0,0.0,0.2,0.0,,32.482816
12,5.6546963889546555,10,0.0,0.0,0.2,0.0,,32.482816
13,5.904514241436807,10,0.0,0.0,0.2,0.0,,32.482816
14,5.437282493645952,10,0.0,0.0,0.2,0.0,,32.482816
15,5.61371673430931,10,0.0,0.0,0.2,0.0,,32.482816
16,5.844391168171328,10,0.0,0.0,0.2,0.0,,32.482816
17,5.764151452734441,10,0.0,0.0,0.2,0.0,,32.482816
18,5.7214730237712255,10,0.0,0.0,0.2,0.0,,32.482816
19,5.8126378159192145,10,0.0,0.0,0.2,0.0,,32.482816
20,5.821389562472529,10,0.0,0.0,0.2,0.0,5.751778130550316,32.482816
21,5.812937390142381,10,0.0,0.0,0.2,0.0,,32.482816
22,5.4707378223729055,10,0.0,0.0,0.2,0.0,,32.482816
23,5.486020004213137,10,0.0,0.0,0.2,0.0,,32.482816
24,5.572813191007096,10,0.0,0.0,0.2,0.0,,32.482816
25,5.915015055960249,10,0.0,0.0,0.2,0.0,,32.482816
26,5.755279987963313,10,0.0,0.0,0.2,0.0,,32.482816
27,5.577244352792356,10,0.0,0.0,0.2,0.0,,32.482816
28,5.683568282720038,10,0.0,0.0,0.2,0.0,,32.482816
29,5.500624832108421,10,0.0,0.0,0.2,0.0,,32.482816
30,5.840847346557467,10,0.0,0.0,0.2,0.0,,32.482816
31,5.845271055121718,10,0.0,0.0,0.2,0.0,,32.482816
32,5.504665775373399,10,0.0,0.0,0.2,0.0,,32.482816
33,5.704686979506332,10,0.0,0.0,0.2,0.0,,32.482816
34,5.986441672403067,10,0.0,0.0,0.2,0.0,,32.482816
35,5.804165140788433,10,0.0,0.0,0.2,0.0,,32.482816
36,5.720196431652207,10,0.0,0.0,0.2,0.0,,32.482816
37,5.415392029964518,10,0.0,0.0,0.2,0.0,,32.482816
38,5.4923007538364725,10,0.0,0.0,0.2,0.0,,32.482816
39,5.6947247595061405,10,0.0,0.0,0.2,0.0,,32.482816
40,5.4402183418985715,10,0.0,0.0,0.2,0.0,5.704050833527404,32.482816
41,5.726347980507933,10,0.0,0.0,0.2,0.0,,32.482816
42,5.608476722148998,10,0.0,0.0,0.2,0.0,,32.482816
43,5.566230772863573,10,0.0,0.0,0.2,0.0,,32.482816
44,5.816637158206293,10,0.0,0.0,0.2,0.0,,32.482816
45,5.544862397503337,10,0.0,0.0,0.2,0.0,,32.482816
46,5.786416626955745,10,0.0,0.0,0.2,0.0,,32.482816
47,5.565445351284788,10,0.0,0.0,0.2,0.0,,32.482816
48,5.8619397219599465,10,0.0,0.0,0.2,0.0,,32.482816
49,5.864037736196715,10,0.0,0.0,0.2,0.0,,32.482816
50,6.074693356257956,10,0.0,0.0,0.2,0.0,,32.482816
51,6.451394008277799,10,0.0,0.0,0.2,0.0,,32.482816
52,5.34878317542803,10,0.0,0.0,0.2,0.0,,32.482816
53,5.591521947327572,10,0.0,0.0,0.2,0.0,,32.482816
54,5.533830746397189,10,0.0,0.0,0.2,0.0,,32.482816
55,5.772497129114135,10,0.0,0.0,0.2,0.0,,32.482816
56,5.585393055157995,10,0.0,0.0,0.2,0.0,,32.482816
57,5.674955921447468,10,0.0,0.0,0.2,0.0,,32.482816
58,5.898026031213413,10,0.0,0.0,0.2,0.0,,32.482816
59,5.767190115982885,10,0.0,0.0,0.2,0.0,,32.482816
60,5.870475553265984,10,0.0,0.0,0.2,0.0,5.641211791954051,32.482816
